Unnamed,Gender,ParentMaritalStatus,IsFristChild,TransportMean,TestPrep,WritingScore,ReadingScore,MathScore,LunchType,PracticeSport,NrSibling,ParentEducation,EthnicGroup
1,Male,Single,Yes,Bus,Completed,39,41,35,Free/Reduced,Regularly,0,High School,Group B
2,Male,Single,No,Bike,Not Completed,81,72,64,Free/Reduced,Regularly,1,PhD,Group C
3,Female,Divorced,Yes,Bus,Not Completed,45,49,59,Standard,Sometimes,2,Intermediate,Group C
4,Male,Married,No,Bus,Not Completed,90,86,93,Free/Reduced,Never,1,High School,Group A
5,Male,Single,Yes,Car,Not Completed,88,89,78,Free/Reduced,Never,2,Bachelor,Group C
6,Female,Married,Yes,Van,Completed,51,53,62,Standard,Sometimes,3,Master,Group B
7,Female,Married,No,Car,Not Completed,84,93,83,Standard,Regularly,4,Master,Group B
8,Female,Single,No,Bike,Completed,75,65,72,Free/Reduced,Never,4,PhD,Group D
9,Female,Widowed,Yes,Bus,Completed,48,54,55,Standard,Never,1,PhD,Group A
10,Female,Divorced,Yes,Bus,Not Completed,73,64,70,Free/Reduced,Regularly,2,PhD,Group B
11,Female,Single,Yes,Walk,Completed,38,40,43,Standard,Sometimes,1,Intermediate,Group A
12,Female,Divorced,No,Bike,Completed,61,71,57,Standard,Never,0,High School,Group D
13,Male,Single,Yes,Car,Completed,95,88,100,Free/Reduced,Never,4,PhD,Group B
14,Male,Divorced,No,Van,Not Completed,84,85,84,Standard,Regularly,1,High School,Group C
15,Male,Single,Yes,Bus,Completed,84,77,75,Standard,Regularly,0,Master,Group A
16,Male,Single,No,Bike,Not Completed,62,57,53,Free/Reduced,Regularly,0,High School,Group D
17,Female,Married,Yes,Bus,Not Completed,70,67,70,Free/Reduced,Regularly,1,Bachelor,Group B
18,Female,Divorced,No,Bike,Completed,51,48,42,Free/Reduced,Never,0,High School,Group A
19,Male,Widowed,No,Car,Completed,96,99,90,Free/Reduced,Regularly,1,PhD,Group A
20,Female,Widowed,No,Bike,Completed,60,56,55,Free/Reduced,Regularly,0,Intermediate,Group A
21,Female,Widowed,Yes,Bus,Completed,35,43,45,Standard,Regularly,4,High School,Group B
22,Female,Married,Yes,Car,Not Completed,55,47,46,Free/Reduced,Regularly,5,Master,Group B
23,Female,Divorced,No,Walk,Completed,59,65,71,Standard,Sometimes,4,Intermediate,Group A
24,Male,Divorced,Yes,Walk,Completed,70,74,76,Standard,Sometimes,2,Bachelor,Group D
25,Female,Married,No,Bus,Completed,89,79,88,Free/Reduced,Regularly,0,Intermediate,Group B
26,Female,Divorced,Yes,Walk,Not Completed,67,58,56,Free/Reduced,Regularly,0,PhD,Group C
27,Male,Single,No,Bike,Not Completed,40,40,52,Free/Reduced,Never,0,High School,Group A
28,Male,Single,No,Bike,Completed,65,74,68,Free/Reduced,Sometimes,0,Master,Group B
